,locus_tag,old_locus_tag,OctoberProduct,SAdLSApdb,SAdLSApreTMS,SAdLSApreTMS2,SAdLSApdbDescription,pfamID,pfamPreTMS,pfamPreTMS2,pfamDescription,hhblitsID,hhblitsProb,hhblitsDescription
WP_010939108.1,DVU_RS08645,DVU1821,hypothetical,2VDC_F,0.7897,0.1515,"GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, AMIDOTRANSFERASE, AMMONIA ASSIMILATION, NADP; HET: OMT, F3S, FMN, FAD, AKG, SF4; 9.5A {AZOSPIRILLUM BRASILENSE} SCOP: d.153.1.1, b.80.4.1, c.1.4.1",PF01493.20,0.5647,0.7136,GXGXG ; GXGXG motif,2VDC_A,100.00,"GLUTAMATE SYNTHASE [NADPH] LARGE CHAIN; OXIDOREDUCTASE, AMIDOTRANSFERASE, AMMONIA ASSIMILATION, NADP; HET: FAD, F3S, SF4, FMN, OMT, AKG; 9.5A {AZOSPIRILLUM BRASILENSE} SCOP: b.80.4.1, d.153.1.1, c.1.4.1"
WP_010939113.1,DVU_RS08670,DVU1826,PxxKW family cysteine-rich protein,6Y17_C,0.4650,0.4910,"Nuclear receptor corepressor 1,B-cell lymphoma; BCL6, NCoR1., TRANSCRIPTION; 1.56A {Homo sapiens}",PF18718.2,0.3439,0.3164,CxC5 ; CxC5 like cysteine cluster associated with KDZ transposases,4V9F_1,32.80,"PROTEIN/RNA Complex; 50S ribosomal subunit, ribonucleoprotein, ribosomal; HET: CL, MG, PSU, OMG, UR3, ACY, 1MA, NA, OMU; 2.404A {Haloarcula marismortui}"
WP_010939117.1,DVU_RS08685,DVU1830,hypothetical,5Y6F_A,0.6218,0.8436,"Flagellar brake protein YcgR; C-di-GMP binding, Flagellar brake protein; HET: C2E; 2.3A {Escherichia coli (strain K12)}",PF07095.12,0.4727,0.2836,IgaA ; Intracellular growth attenuator protein IgaA,5KEC_A,99.79,"Flagellar brake protein YcgR; MrkH, K. pneumonia, biofilm, c-di-GMP; 1.949A {Klebsiella pneumoniae}"
WP_010939131.1,DVU_RS08755,DVU1845,hypothetical,2LD3_A,0.7090,0.7211,"Myosin VI; molecular motor, myosin VI, lever; NMR {Mus musculus}",PF03623.14,0.6980,0.5143,Focal_AT ; Focal adhesion targeting region,5GNP_A,49.15,"Cell division protein ZapD; ZapD, cytokinesis, cell division, FtsZ; 2.8A {Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)}"
WP_010939139.1,DVU_RS08795,DVU1853,hypothetical,3VJF_B,0.5296,0.5145,"WA20; PROTEIN DESIGN, DE NOVO PROTEIN; HET: MSE; 2.2A {synthetic construct}",PF15458.7,0.4673,0.1889,NTR2 ; Nineteen complex-related protein 2,5LO4_A,85.17,"PPa-CH3; Designed miniprotein CH-pi interactions weak; HET: 4PH, ACE, NH2; NMR {N/A}"
WP_014524380.1,DVU_RS08800,DVU1854,hypothetical,1DE4_G,0.4662,0.3810,"HEMOCHROMATOSIS PROTEIN/BETA-2-MICROGLOBULIN/TRANSFERRIN RECEPTOR; HFE, HEREDITARY HEMOCHROMATOSIS, MHC CLASS; HET: NAG; 2.8A {Homo sapiens} SCOP: b.1.1.2, d.19.1.1",PF16226.6,0.4851,0.3453,DUF4885 ; Domain of unknown function (DUF4885),3KGK_B,69.12,"Arsenical resistance operon trans-acting repressor; alpha+beta, Arsenical resistance, Chaperone, DNA-binding; 1.4A {Escherichia coli}"
WP_010939151.1,DVU_RS16705,DVU1865,hypothetical,2Z1A_A,0.4514,0.0723,"5'-nucleotidase (E.C.3.1.3.5); nucleotidase, Metal-binding, Nucleotide-binding, Hydrolase, Structural; HET: THM; 1.75A {Thermus thermophilus} SCOP: d.114.1.1, d.159.1.2",PF02495.18,0.3247,0.3099,TGBp3 ; Triple gene block 3,2Z1A_A,70.75,"5'-nucleotidase (E.C.3.1.3.5); nucleotidase, Metal-binding, Nucleotide-binding, Hydrolase, Structural; HET: THM; 1.75A {Thermus thermophilus} SCOP: d.114.1.1, d.159.1.2"
WP_010939152.1,DVU_RS08850,DVU1866,hypothetical,3GVE_A,0.8569,0.6051,"YfkN protein; alpha-beta-beta-alpha sandwich, Structural Genomics, PSI-2; HET: CIT, MSE; 1.25A {Bacillus subtilis subsp. subtilis}",PF13277.7,0.7468,0.6993,YmdB ; YmdB-like protein,5H7W_B,99.87,"venom 5'-nucleotidase; 5'-nucleotidase, purine hydrolysis, snake venom; HET: NAG, BMA; 1.9A {Naja atra}"
WP_010939166.1,DVU_RS08915,DVU1880,hypothetical,2X9Q_B,0.4274,0.3517,CYCLODIPEPTIDE SYNTHETASE; LIGASE; HET: MSE; 2.02A {MYCOBACTERIUM TUBERCULOSIS},PF16715.6,0.4713,0.4698,CDPS ; Cyclodipeptide synthase,3KTB_A,67.24,"Arsenical resistance operon trans-acting repressor; alpha-beta-alpha sandwich, helix-turn-helix, Structural Genomics; HET: GOL; 2.1A {Bacteroides vulgatus}"
WP_010939173.1,DVU_RS08950,DVU1887,hypothetical,1XFI_A,0.5279,0.8096,"protein; STRUCTURAL GENOMICS, PROTEIN STRUCTURE INITIATIVE; 1.7A {Arabidopsis thaliana} SCOP: e.50.1.1",PF14314.7,0.4505,0.3987,Methyltrans_Mon ; Virus-capping methyltransferase,2Q40_A,100.00,"Protein At2g17340; Ensemble Refinement, Refinement Methodology Development; HET: MG; 1.7A {Arabidopsis thaliana} SCOP: e.50.1.1"
WP_010939180.1,DVU_RS08990,DVU1894,hypothetical,2D9K_A,0.5829,0.5659,"FLN29 gene product; FLN29, zinc finger, zf-TRAF, Structural; HET: ZN; NMR {Homo sapiens}",PF05129.14,0.5485,0.5149,Elf1 ; Transcription elongation factor Elf1 like,1VD4_A,98.36,"Transcription initiation factor IIE, alpha; ZINC FINGER, Transcription; HET: ZN; NMR {Homo sapiens} SCOP: g.41.3.1"
WP_011792157.1,DVU_RS09045,NULL,hypothetical,2D8D_A,0.4897,0.4378,"phospho-2-dehydro-3-deoxyheptonate aldolase/chorismate mutase(E.C.5.4.99.5); Chorismate, Dimer, Structural Genomics, NPPSFA; 1.15A {Thermus thermophilus} SCOP: a.130.1.1",PF17376.3,0.4780,0.4594,DUF5398 ; Family of unknown function (DUF5398),6MEZ_B,34.30,"Bacteriochlorophyll a protein; FMO Photosynthesis Antenna complex, Energy; HET: BCL, SO4; 1.74A {Prosthecochloris aestuarii}"
WP_010939229.1,DVU_RS09210,DVU1943,hypothetical,3ON0_D,0.4288,0.3221,"TraM/DNA complex; DNA binding protein, DNA Protein-DNA; 2.874A {Escherichia coli}",PF15553.7,0.3877,0.2404,TEX19 ; Testis-expressed protein 19,4LPZ_D,36.88,"Aryl hydrocarbon receptor nuclear translocator; PAS domain coiled coil, transcription; 3.15A {Homo sapiens}"
WP_010939234.1,DVU_RS09235,DVU1948,hypothetical,3HIE_C,0.6392,0.4027,"Exocyst complex component SEC3; PH domain, dimer, domain swapping; HET: PO4; 2.0A {Saccharomyces cerevisiae}",PF08416.14,0.6186,0.4949,PTB ; Phosphotyrosine-binding domain,6DG6_E,27.64,"neoleukin-2/15; cytokine mimetic, BIOSYNTHETIC PROTEIN; 1.999A {synthetic construct}"
WP_010939241.1,DVU_RS09270,DVU1955,hypothetical,5A7D_B,0.7103,0.5479,"PINS, INSCUTEABLE; CELL CYCLE, LGN, INSCUTEABLE, ASYMMETRIC; 3.4A {DROSOPHILA MELANOGASTER}",PF16918.6,0.6742,0.5605,PknG_TPR ; Protein kinase G tetratricopeptide repeat,1N94_A,99.90,"Protein farnesyltransferase alpha subunit (E.C.2.5.1.-); Farnesyltransferase, Prenyltransferase, TRANSFERASE; HET: HFP, TIN; 3.5A {Rattus norvegicus} SCOP: a.118.6.1"
WP_014524365.1,DVU_RS09305,NULL,hypothetical,1NLW_A,0.3510,0.3564,"MAD PROTEIN/MAX PROTEIN/DNA; transcription factor, DNA, bHLHZ, TRANSCRIPTION-DNA; 2.0A {Homo sapiens} SCOP: a.38.1.1",PF15409.7,0.3669,0.3580,PH_8 ; Pleckstrin homology domain,4B2U_A,8.73,"S67; TOXIN, SPIDER VENOM PEPTIDE, ICK; NMR {SICARIUS DOLICHOCEPHALUS}"
WP_010939266.1,DVU_RS09375,DVU1980,hypothetical,2B0H_A,0.6507,0.6243,"Talin-1; talin, vinculin, helical bundle, VBS; NMR {Mus musculus} SCOP: a.24.9.2",PF00489.18,0.5749,0.4435,IL6 ; Interleukin-6/G-CSF/MGF family,2KRU_A,36.14,"Light-independent protochlorophyllide reductase subunit B; NESG, PSI, bchB, Bacteriochlorophyll biosynthesis; NMR {Chlorobaculum tepidum}"
WP_010939276.1,DVU_RS09420,DVU1990,hypothetical,2P3P_A,0.6881,0.7115,"Hypothetical protein; MCSG, hypothetical protein, MAD, PSI-2; HET: MSE; 1.76A {Porphyromonas gingivalis W83} SCOP: d.383.1.1",PF11644.9,0.6364,0.7049,DUF3256 ; Protein of unknown function (DUF3256),2P3P_B,100.00,"Hypothetical protein; MCSG, hypothetical protein, MAD, PSI-2; 1.76A {Porphyromonas gingivalis W83} SCOP: d.383.1.1"
WP_010939277.1,DVU_RS09430,DVU1991,hypothetical,5FB9_A,0.4421,0.5168,"Nuclease S1 (E.C.3.1.30.1); Endonuclease, Zinc dependent, hydrolase; HET: BTB, NAG; 1.5A {Aspergillus oryzae RIB40}",PF02265.17,0.4471,0.5435,S1-P1_nuclease ; S1/P1 Nuclease,5VID_F,24.43,"Botulinum neurotoxin type B (E.C.3.4.24.69); mini-protein binder, inhibitor, TOXIN; 2.75A {Clostridium botulinum}"
WP_164928132.1,DVU_RS09465,NULL,hypothetical,5J0N_F,0.6103,0.2885,"Integrase, Integration host factor subunit; bacteriophage lambda, excision, site-specific recombination; 11.0A {Enterobacteria phage lambda}",PF15165.7,0.5177,0.3783,REC114-like ; Meiotic recombination protein REC114-like,3JU0_A,98.87,"Phage integrase; four stranded beta-sheet, DNA BINDING; 1.6A {Pectobacterium atrosepticum}"
WP_010939290.1,DVU_RS09485,DVU2006,(2Fe-2S)-binding protein,2HU9_A,0.6853,0.3209,"Mercuric transport protein periplasmic component; copper chaperone, iron-sufur protein, CopZ; 1.78A {Archaeoglobus fulgidus}",PF17806.2,0.7226,0.4709,SO_alpha_A3 ; Sarcosine oxidase A3 domain,2HU9_A,99.22,"Mercuric transport protein periplasmic component; copper chaperone, iron-sufur protein, CopZ; 1.78A {Archaeoglobus fulgidus}"
WP_010939305.1,DVU_RS09555,DVU2023,hypothetical,4ETX_A,0.4802,0.3352,"PelD; c-di-GMP, SIGNALING PROTEIN; 2.0A {Pseudomonas aeruginosa}",PF18474.2,0.4779,0.4152,DUF5614 ; Family of unknown function (DUF5614),3FOV_A,84.18,"UPF0102 protein RPA0323; structural genomics, APC7380, PSI-2, Protein; 1.88A {Rhodopseudomonas palustris}"
WP_010939313.1,DVU_RS09600,DVU2033,hypothetical,5EAN_A,0.5795,0.2605,"DNA replication ATP-dependent helicase/nuclease DNA2/DNA; DNA binding protein, Hydrolase-DNA complex; HET: ADP; 2.36A {Mus musculus}",PF10926.9,0.6095,0.6874,DUF2800 ; Protein of unknown function (DUF2800),3SM4_C,99.54,"Exonuclease (E.C.3.1.11.3)/DNA complex; homologous recombination, DNA repair, recombineering; HET: PO4; 1.88A {Enterobacteria phage lambda}"
WP_010939314.1,DVU_RS09605,DVU2034,hypothetical,2WNY_A,0.5105,0.4621,"CONSERVED PROTEIN MTH689; UNKNOWN FUNCTION, EXOSOME SUPEROPERON; 1.95A {METHANOTHERMOBACTER THERMAUTOTROPHICUS}",PF15600.7,0.5197,0.3778,Imm64 ; Immunity protein 64,2KRX_A,20.90,"Asl3597 protein; Structural Genomics, PSI-2, Protein Structure; NMR {Nostoc sp.}"
WP_010939319.1,DVU_RS09625,DVU2039,hypothetical,4HRV_B,0.5402,0.3580,"Putative lipoprotein GNA1162; DUF799, LIPID BINDING PROTEIN; 1.89A {Neisseria meningitidis}",PF12112.9,0.5194,0.5343,DUF3579 ; Protein of unknown function (DUF3579),5BNF_B,26.20,"Uncharacterized protein; ADP-hydrolase, ADP-cyclase, calcium signalling, cADPR; 2.3A {Sus scrofa}"
WP_010939320.1,DVU_RS09630,DVU2040,hypothetical,1BRT_A,0.7791,0.3071,"BROMOPEROXIDASE A2; HALOPEROXIDASE, OXIDOREDUCTASE, PEROXIDASE, ALPHA/BETA HYDROLASE; 1.5A {Streptomyces aureofaciens} SCOP: c.69.1.12",PF06342.13,0.7456,0.2828,DUF1057 ; Alpha/beta hydrolase of unknown function (DUF1057),1ILO_A,17.01,"conserved hypothetical protein MtH895; beta-alpha-beta-alpha-beta-beta-alpha motif, Structural Genomics, PSI; NMR {Methanothermobacter thermautotrophicus str. Delta H} SCOP: c.47.1.1"
WP_010939323.1,DVU_RS09645,DVU2043,hypothetical,1YVR_A,0.4865,0.4831,"60-kDa SS-A/Ro ribonucleoprotein/RNA complex; HEAT repeat von Willebrand; 1.95A {Xenopus laevis} SCOP: a.118.25.1, c.62.1.5",PF11443.9,0.5003,0.4225,DUF2828 ; Domain of unknown function (DUF2828),6QT8_A,99.29,"Midasin; ribosome biogenesis, integrin, midas, RIBOSOME; HET: GOL, SO4; 2.33A {Chaetomium thermophilum var. thermophilum DSM 1495}"
WP_010939325.1,DVU_RS09650,DVU2045,hypothetical,1TAF_A,0.3808,0.3568,"TFIID TBP ASSOCIATED FACTOR 42; TRANSCRIPTION INITIATION, HISTONE FOLD, COMPLEX; 2.0A {Drosophila melanogaster} SCOP: a.22.1.3",PF07524.14,0.3602,0.3297,Bromo_TP ; Bromodomain associated,2VR0_F,75.79,"CYTOCHROME C NITRITE REDUCTASE, CATALYTIC; QUINOL DEHYDROGENASE, OXIDOREDUCTASE, HQNO, NRFH; HET: HEM, HQO; 2.8A {DESULFOVIBRIO VULGARIS}"
WP_014524452.1,DVU_RS09660,NULL,hypothetical,3UCS_A,0.5719,0.5640,"Chaperone-modulator protein CbpM, Curved DNA-binding; protein-protein complex, Structural Genomics, Montreal-Kingston; 1.87A {Klebsiella pneumoniae}",PF04645.13,0.5913,0.3838,"DUF603 ; Protein of unknown function, DUF603",1Z4H_A,98.88,"Tor inhibition protein; winged helix, reverse turn, PROTEIN; NMR {Escherichia coli}"
WP_010939329.1,DVU_RS09670,DVU2051,hypothetical,5OQM_l,0.4697,0.3244,"Mediator of RNA polymerase II; transcription initiation, TRANSCRIPTION, macromolecular complex; HET: ZN; 5.8A {Saccharomyces cerevisiae (strain ATCC 204508 / S288c)}",PF15146.7,0.4365,0.4311,FANCAA ; Fanconi anemia-associated,2DSY_B,50.80,"Hypothetical protein TTHA0281; STRUCTURAL GENOMICS, THERMUS THERMOPHILUS HB8; HET: MSE, NHE; 1.9A {Thermus thermophilus} SCOP: d.304.1.2"
WP_010939335.1,DVU_RS09695,DVU2057,hypothetical,6Y50_q,0.3770,0.2869,"Splicing factor 3A subunit 3; 17S U2 snRNP, SPLICING; 4.1A {Homo sapiens}",PF12877.8,0.3702,0.2934,DUF3827 ; Domain of unknown function (DUF3827),6QBK_A,35.83,"Big defensin 1; Big-defensin, antimicrobial, marine, oyster, ANTIMICROBIAL; HET: AAR; NMR {N/A}"
WP_010940661.1,DVU_RS09745,DVU4011,hypothetical,3TMB_B,0.6159,0.2465,"Uncharacterized protein Bd1817; HD-GYP, phosphodiesterase, UNKNOWN FUNCTION, HYDROLASE,SIGNALING; HET: PO4; 1.7A {Bdellovibrio bacteriovorus}",PF11871.9,0.5343,0.4673,DUF3391 ; Domain of unknown function (DUF3391),3TM8_A,97.13,"Uncharacterized protein; HD-GYP, phosphodiesterase, UNKNOWN FUNCTION, HYDROLASE; HET: PO4, DMS; 1.28A {Bdellovibrio bacteriovorus}"
WP_010939349.1,DVU_RS09760,DVU2071,hypothetical,5IR6_A,0.8421,0.6158,"Bd-type quinol oxidase subunit I; bd oxidase, terminal oxidase, oxidoreductase; HET: HDD, HEB; 3.8A {Geobacillus stearothermophilus K1041}",PF01654.18,0.8333,0.6233,Cyt_bd_oxida_I ; Cytochrome bd terminal oxidase subunit I,6RX4_A,100.00,"Cytochrome bd-I ubiquinol oxidase subunit; BD OXIDASE, TERMINAL OXIDASE, OXIDOREDUCTASE; HET: PEE, UQ8, HDD, HEB; 3.3A {Escherichia coli (strain K12)}"
WP_014524456.1,DVU_RS09810,NULL,hypothetical,3BPQ_A,0.4397,0.4244,"Antitoxin RelB3, Toxin RelE3 (E.C.3.1.-.-); protein toxin-antitoxin complex, TOXIN; 2.2A {Methanocaldococcus jannaschii}",PF02402.17,0.5007,0.4842,Lysis_col ; Lysis protein,5OK8_A,71.59,LPP20 lipoprotein; Virulence factor  Helicobacter pylori; HET: EPE; 1.874A {Helicobacter pylori (strain J99 / ATCC 700824)}
WP_010940668.1,DVU_RS09815,DVU4018,hypothetical,6PFJ_T,0.5208,0.3899,"AmfC protein, RNA polymerase sigma; sigma, anti-sigma, c-di-GMP, developmental switch; HET: C2E; 2.08A {Streptomyces venezuelae (strain ATCC 10712 / CBS 650.69 / DSM 40230 / JCM 4526 / NBRC 13096 / PD 04745)}",PF02656.16,0.5660,0.8187,DUF202 ; Domain of unknown function (DUF202),2M67_A,53.36,"MerF; integral membrane protein, mercury transporter; NMR {Morganella morganii}"
WP_164928135.1,DVU_RS09820,NULL,hypothetical,1KG1_A,0.5549,0.5145,"Necrosis Inducing Protein 1; antiparalel beta sheets, TOXIN; NMR {Rhynchosporium secalis} SCOP: g.70.1.1",PF09178.11,0.4028,0.4140,DUF1945 ; Domain of unknown function (DUF1945),2HW4_A,23.79,"14 kDa phosphohistidine phosphatase (E.C.3.1.3.-); phosphohistidine, phosphatase, phpt1, human, Structural; HET: FMT; 1.9A {Homo sapiens} SCOP: d.322.1.1"
WP_014524458.1,DVU_RS09850,DVU2087,hypothetical,7DB8_B,0.7009,0.2142,"Phenylalanine--tRNA ligase alpha subunit (E.C.6.1.1.20); aminoacylation, tRNA-binding, aminoacyl-tRNA synthetase, ATP-binding; HET: H2R, SO4; 2.3A {Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)}",PF03483.18,0.6085,0.7703,B3_4 ; B3/4 domain,4P72_A,99.78,"Phenylalanine tRNA synthetase; Phenylalanine tRNA synthetase, PheRS, LIGASE-LIGASE; HET: 2NL; 2.62A {Pseudomonas aeruginosa}"
WP_041722671.1,DVU_RS09930,DVU2105,hypothetical,3W6Q_B,0.2884,0.1557,"tyrosinase; Four helix bundle, METAL BINDING; 2.052A {Aspergillus oryzae}",PF15242.7,0.2838,0.2439,FAM53 ; Family of FAM53,4V8M_AD,37.25,"Ribosome; RIBOSOME, EUKARYOTIC, KINETOPLASTIDS, EXPANSION SEGMENTS; 5.57A {TRYPANOSOMA BRUCEI BRUCEI}"
WP_010939385.1,DVU_RS09945,DVU2108,NifB/NifX family molybdenum-iron cluster-binding protein,1O13_A,0.8618,0.7650,"probable NifB protein that is; Ribonuclease h-like motif fold, structural; 1.83A {Thermotoga maritima} SCOP: c.55.5.1",PF09582.11,0.7197,0.4747,AnfO_nitrog ; Iron only nitrogenase protein AnfO (AnfO_nitrog),1EO1_A,99.87,"HYPOTHETICAL PROTEIN MTH1175; mixed a/b protein, mixed beta; NMR {Methanothermobacter thermautotrophicus} SCOP: c.55.5.1"
WP_014524461.1,DVU_RS09965,NULL,hypothetical,1SGV_A,0.4447,0.1499,"tRNA pseudouridine synthase B (E.C.4.2.1.70); Hinged motion, tRNA modification, Structural; 1.9A {Mycobacterium tuberculosis} SCOP: b.122.1.1, d.265.1.2",PF04059.13,0.4589,0.4088,RRM_2 ; RNA recognition motif 2,4RGI_A,83.89,Uncharacterized protein; Chicago Center for Functional Annotation; HET: GOL; 1.732A {Yersinia pestis}
WP_010939397.1,DVU_RS10005,DVU2120,hypothetical,6X66_HK,0.3040,0.2465,"DotC, DotD, Type IV secretion; Secretion, T4SS, Dot, PROTEIN TRANSPORT;{Legionella pneumophila}",PF09476.11,0.3425,0.2492,Pilus_CpaD ; Pilus biogenesis CpaD protein (pilus_cpaD),5CYB_A,87.31,"Lipoprotein; lipocalin, lipoprotein, PccL, virulence, transport; HET: GOL; 2.1A {Streptococcus pneumoniae}"
WP_010939407.1,DVU_RS10055,DVU2130,hypothetical,4XXX_A,0.4211,0.3673,"EspB; ESX-1, type VII secretion system; HET: GOL; 1.5A {Mycobacterium tuberculosis}",PF08687.12,0.4034,0.3364,ASD2 ; Apx/Shroom domain ASD2,1DD4_C,10.95,"50S RIBOSOMAL PROTEIN L7/L12; DIMER FORMATION, FLEXIBILITY, HINGE REGION; HET: TBR; 2.4A {Thermotoga maritima} SCOP: a.108.1.1"
WP_010939409.1,DVU_RS10065,DVU2132,hypothetical,1AJ3_A,0.3872,0.3486,"ALPHA SPECTRIN; ELASTICITY, MEMBRANE SKELETON, SPECTRIN, COILED-COIL; NMR {Gallus gallus} SCOP: a.7.1.1",PF16830.6,0.3792,0.3718,NBD94 ; Nucleotide-Binding Domain 94 of RH,6XQN_E,55.63,"Protein EMRE homolog, mitochondrial-like Protein; ion channel, calcium channel, mitochondrial; 3.3A {Tribolium castaneum}"
WP_010939412.1,DVU_RS10075,DVU2135,FlxA-like family protein,1YG2_A,0.5168,0.5260,gene activator AphA; virulence factor vibrio cholerae; 2.2A {Vibrio cholerae} SCOP: a.4.5.61,PF09660.11,0.4641,0.2241,DUF2397 ; Protein of unknown function (DUF2397),3HE5_E,86.18,"SYNZIP1, SYNZIP2; heterodimeric coiled-coil, DE NOVO PROTEIN; 1.75A {artificial gene}"
WP_010939428.1,DVU_RS10170,DVU2151,hypothetical,2HG7_A,0.6734,0.7146,Phage-like element PBSX protein xkdW; Phage-like element PBSX protein xkdW; NMR {Bacillus subtilis} SCOP: d.186.2.1,PF09636.11,0.6877,0.7536,XkdW ; XkdW protein,2HG7_A,99.87,Phage-like element PBSX protein xkdW; Phage-like element PBSX protein xkdW; NMR {Bacillus subtilis} SCOP: d.186.2.1
WP_010939429.1,DVU_RS10175,DVU2152,hypothetical,5KCA_A,0.5467,0.2493,"Cerebellin-1,Cerebellin-1,Cerebellin-1,Glutamate receptor ionotropic, delta-2; Cerebellin, ionotropic glutamate receptor (iGluR); 3.1A {Homo sapiens}",PF04489.14,0.4608,0.3948,DUF570 ; Protein of unknown function (DUF570),2JG9_A,39.68,"COMPLEMENT C1Q SUBCOMPONENT SUBUNIT A; POLYMORPHISM, GLYCOPROTEIN, PHAGOCYTOSIS, DISEASE MUTATION; 1.9A {Homo sapiens} SCOP: b.22.1.1"
WP_010939433.1,DVU_RS10195,DVU2156,hypothetical,6TEH_A,0.7438,0.4671,"Hub protein Rcc01696, Distal tail; ""baseplate"", ""tail"", ""oligosaccharide-binding fold"", ""hub""; 3.99A {Rhodobacter capsulatus}",PF05939.14,0.7922,0.8845,Phage_min_tail ; Phage minor tail protein,6TEB_C,97.74,"Tail tube protein Rcc01691, Distal; ""distal tail protein"", ""tail tube""; 4.14A {Rhodobacter capsulatus DE442}"
WP_041722685.1,DVU_RS10205,NULL,DUF1799 domain-containing protein,2DMN_A,0.7059,0.6222,"Homeobox protein TGIF2LX; TGFB-induced factor 2-like protein, X-linked; NMR {Homo sapiens}",PF08809.12,0.8059,0.7008,DUF1799 ; Phage related hypothetical protein (DUF1799),6S0Z_O,29.58,"50S ribosomal protein L2, 50S; Ribosome, antibiotics, resistance, Staphylococcus aureus; HET: ERY; 2.3A {Staphylococcus aureus}"
WP_010939435.1,DVU_RS10210,DVU2158,hypothetical,1PN5_A,0.3770,0.3131,"NACHT-, LRR- and PYD-containing protein; 5 ALPHA-HELIX BUNDLE, APOPTOSIS; NMR {Homo sapiens} SCOP: a.77.1.5",PF00572.19,0.3791,0.3753,Ribosomal_L13 ; Ribosomal protein L13,2N5J_A,67.61,"Ribonuclease ZC3H12A (E.C.3.1.-.-); Regnase, Regnase-1, Zc3h12a, HYDROLASE; NMR {Mus musculus}"
WP_010939436.1,DVU_RS10215,DVU2159,hypothetical,5NGJ_B,0.7254,0.5045,"Tail tube protein; bacteriophage, viral protein, tube protein; 2.2A {Escherichia phage T5}",PF18906.1,0.7286,0.7578,Phage_tube_2 ; Phage tail tube protein,5NGJ_B,99.27,"Tail tube protein; bacteriophage, viral protein, tube protein; 2.2A {Escherichia phage T5}"
WP_010939437.1,DVU_RS10220,DVU2160,hypothetical,6TE9_F,0.6493,0.7266,"Adaptor protein Rcc01688, Portal protein; ""neck"", ""portal"", ""capsid"", ""tail tube""; 3.58A {Rhodobacter capsulatus}",PF06141.12,0.6050,0.6923,Phage_tail_U ; Phage minor tail protein U,2LFP_A,93.26,Bacteriophage SPP1 complete nucleotide sequence; VIRAL PROTEIN; NMR {Bacillus phage SPP1}
WP_010939438.1,DVU_RS10225,DVU2161,hypothetical,5LLY_C,0.4492,0.2576,"Diguanylate cyclase (GGDEF) domain-containing protein; bacteriophytochrome, diguanylate cyclase, light-regulation, c-di-GMP; HET: GOL, LBV; 2.4A {Idiomarina sp. A28L}",PF05069.14,0.5682,0.8702,Phage_tail_S ; Phage virion morphogenesis family,6A6X_C,59.07,"Probable endoribonuclease MazF7 (E.C.3.1.-.-), Antitoxin; Mycobacterium tuberculosis, Toxin-antitoxin system, TOXIN; HET: SO4; 2.7A {Mycobacterium tuberculosis}"
WP_014524471.1,DVU_RS10230,DVU2162,hypothetical,5KBX_B,0.8213,0.4684,"Phosphorelay intermediate protein YPD1, Osmolarity; two-component signaling, phosphorelay, Ypd1, Ssk1; HET: GOL, PO4, MSE; 2.798A {Saccharomyces cerevisiae (strain ATCC 204508 / S288c)}",PF00072.25,0.7752,0.7866,Response_reg ; Response regulator receiver domain,1E9K_A,52.33,"CAMP SPECIFIC PHOSPHODIESTERASE PDE4D5 (E.C.3.1.4.17); HYDROLASE, CAMP-SPECIFIC PHOSPHODIESTERASE; NMR {N/A} SCOP: j.87.1.1"
WP_010939440.1,DVU_RS10235,DVU2163,hypothetical,2M66_A,0.7154,0.4285,"Endoplasmic reticulum resident protein 29; ERp29, Erp29-C, Chaperone, GPS-Rosetta; NMR {Rattus norvegicus}",PF00505.20,0.6720,0.5616,HMG_box ; HMG (high mobility group) box,3B1S_B,58.87,"Flagellar biosynthetic protein flhB; flagella, type III secretion system; 2.55A {Aquifex aeolicus}"
WP_010939444.1,DVU_RS10255,DVU2167,hypothetical,6XTY_A,0.6106,0.2325,"DNA replication licensing factor MCM2; CMG, Helicase, ATPase, Replisome, REPLICATION; 6.77A {Homo sapiens}",PF16922.6,0.5541,0.6358,SLD5_C ; DNA replication complex GINS protein SLD5 C-terminus,5GHR_B,89.28,"SsDNA-specific exonuclease, Putative uncharacterized protein; DNA replication, DNA BINDING PROTEIN-REPLICATION; HET: SO4, MSE; 2.509A {Thermococcus kodakarensis}"
WP_010939449.1,DVU_RS10280,DVU2172,hypothetical,2L6Q_A,0.6247,0.7079,"Head-to-tail joining protein W (GpW); gpW, fast protein folding, downhill; NMR {Enterobacteria phage lambda}",PF02831.16,0.7027,0.7513,gpW ; gpW,2L6R_A,97.67,"Head-to-tail joining protein W (GpW); gpW, atom by atom analysis; NMR {Enterobacteria phage lambda}"
WP_010939451.1,DVU_RS10285,DVU2174,hypothetical,5F5W_A,0.4602,0.3829,"Glycine--tRNA ligase alpha subunit (E.C.6.1.1.14); class II tRNA synthetase, LIGASE; HET: G5A; 2.81A {Aquifex aeolicus (strain VF5)}",PF03355.15,0.4063,0.3770,Pox_TAP ; Viral Trans-Activator Protein,3NPD_A,21.43,"putative secreted protein; Structural Genomics, Joint Center for; HET: CXS, SO4; 1.6A {Pseudomonas aeruginosa}"
